# 政治資金収支報告書CSVテンプレート v1.0
# メタデータ（必須）- 以下の行は # で始めてください
#POLITICIAN=林芳正
#ORGANIZATION=林芳正を支える会
#FISCAL_YEAR=2023
#INCOME_TOTAL=98038630
# ⚠️ INCOME_TOTALは「本年の収入額」のみ（前年繰越を含まない）
#EXPENSE_TOTAL=91084250
# ⚠️ EXPENSE_TOTALは「本年の支出額」のみ（翌年繰越を含まない）
#CARRIED_FROM_PREV=196693137
# CARRIED_FROM_PREVは「前年からの繰越額」
#CARRIED_TO_NEXT=203647517
# CARRIED_TO_NEXTは「翌年への繰越額」

# データ行（必須）
日付,カテゴリー,項目,金額,タイプ,支出先/寄附者,住所,備考
2023/04/01,個人からの寄附,田中太郎,100000,収入,,,会社役員
2023/04/05,個人からの寄附,佐藤花子,50000,収入,,,自営業
2023/04/10,法人その他の団体からの寄附,株式会社山田商事,500000,収入,,,
2023/04/15,事務所費,事務所賃料,200000,支出,不動産管理会社,東京都千代田区,月額賃料
2023/04/20,備品・消耗品費,文房具購入,15000,支出,オフィス用品店,東京都中央区,
2023/05/01,人件費,スタッフ給与,300000,支出,,,3名分
2023/05/15,光熱水費,電気代,25000,支出,東京電力,東京都,4月分
2023/05/20,組織活動費,会議費用,80000,支出,ホテル,東京都港区,総会開催
2023/06/01,個人からの寄附,鈴木一郎,200000,収入,,,医師
2023/06/10,政治活動費,広報費,150000,支出,印刷会社,東京都品川区,チラシ印刷
2023/06/20,その他の経費,交通費,45000,支出,,,出張費用
2023/07/05,機関紙誌の発行,会報印刷,120000,支出,印刷会社,東京都新宿区,年4回発行
2023/07/15,個人からの寄附,高橋次郎,75000,収入,,,会社員
2023/08/01,事務所費,通信費,30000,支出,通信会社,東京都,電話・インターネット
2023/08/20,調査研究費,アンケート調査,180000,支出,調査会社,東京都渋谷区,世論調査
2023/09/10,個人からの寄附,伊藤美咲,150000,収入,,,弁護士
2023/09/25,選挙関係費,ポスター制作,250000,支出,デザイン会社,東京都目黒区,
2023/10/05,備品・消耗品費,パソコン購入,180000,支出,電器店,東京都,事務用
2023/10/20,寄附・交付金,他団体への寄附,100000,支出,支援団体,東京都,
2023/11/01,人件費,スタッフ給与,300000,支出,,,3名分
2023/11/15,政治活動費,イベント開催,200000,支出,イベント会社,東京都千代田区,
2023/12/10,個人からの寄附,渡辺三郎,300000,収入,,,実業家
2023/12/20,その他の経費,年末謝礼,50000,支出,,,感謝状発送
