# 政治資金収支報告書CSVテンプレート v1.0
# メタデータ
#POLITICIAN=玉木雄一郎
#ORGANIZATION=国民民主党
#FISCAL_YEAR=2023
#INCOME_TOTAL=25000000
#EXPENSE_TOTAL=22000000
#CARRIED_FROM_PREV=5000000
#CARRIED_TO_NEXT=8000000

# データ行
日付,カテゴリー,項目,金額,タイプ,支出先/寄附者,住所,備考
2023/04/01,個人からの寄附,桐ヶ谷正裕,100000,収入,,,会社役員
2023/04/05,個人からの寄附,田中花子,50000,収入,,,自営業
2023/04/10,法人その他の団体からの寄附,株式会社サンプル商事,500000,収入,,,企業寄附
2023/04/15,政治団体からの寄附,民主連合会,1000000,収入,,,政治団体
2023/05/01,事務所費,事務所賃料,891010,支出,宇野卓哉,神奈川県横浜市,月額賃料
2023/05/05,備品・消耗品費,ガソリン代,68395,支出,豊島興油株式会社,東京都千代田区,
2023/05/10,人件費,スタッフ給与,1500000,支出,,,3名分
2023/05/15,光熱水費,電気代,45000,支出,東京電力,東京都,
2023/05/20,備品・消耗品費,事務用品,123000,支出,文具店ABC,東京都港区,
2023/06/01,個人からの寄附,山田太郎,80000,収入,,,医師
2023/06/05,事務所費,事務所賃料,891010,支出,宇野卓哉,神奈川県横浜市,月額賃料
2023/06/10,組織活動費,会議費,250000,支出,ホテルグランド,東京都,全国会議
2023/06/15,調査研究費,世論調査,800000,支出,リサーチ会社XYZ,東京都新宿区,
2023/07/01,個人からの寄附,佐藤次郎,120000,収入,,,会社員
2023/07/05,事務所費,事務所賃料,891010,支出,宇野卓哉,神奈川県横浜市,月額賃料
2023/07/10,人件費,スタッフ給与,1500000,支出,,,3名分
2023/07/15,機関紙誌の発行その他の事業費,広報誌印刷,450000,支出,印刷会社DEF,東京都中央区,
2023/08/01,法人その他の団体からの寄附,株式会社テクノロジー,800000,収入,,,企業寄附
2023/08/05,事務所費,事務所賃料,891010,支出,宇野卓哉,神奈川県横浜市,月額賃料
2023/08/10,組織活動費,研修費,180000,支出,研修センター,大阪府,
2023/08/20,備品・消耗品費,パソコン購入,350000,支出,電器店GHI,東京都,
2023/09/01,個人からの寄附,鈴木三郎,90000,収入,,,自営業
2023/09/05,事務所費,事務所賃料,891010,支出,宇野卓哉,神奈川県横浜市,月額賃料
2023/09/10,人件費,スタッフ給与,1500000,支出,,,3名分
2023/09/15,選挙関係費,ポスター制作,620000,支出,広告代理店JKL,東京都,
2023/10/01,政治団体からの寄附,市民連合,1200000,収入,,,政治団体
2023/10/05,事務所費,事務所賃料,891010,支出,宇野卓哉,神奈川県横浜市,月額賃料
2023/10/10,組織活動費,イベント費,550000,支出,イベント会社MNO,東京都,市民集会
2023/10/20,調査研究費,政策研究,400000,支出,シンクタンクPQR,東京都千代田区,
2023/11/01,個人からの寄附,高橋美咲,150000,収入,,,弁護士
2023/11/05,事務所費,事務所賃料,891010,支出,宇野卓哉,神奈川県横浜市,月額賃料
2023/11/10,人件費,スタッフ給与,1500000,支出,,,3名分
2023/11/15,機関紙誌の発行その他の事業費,ウェブサイト運営,280000,支出,Web制作会社STU,東京都渋谷区,
2023/11/20,備品・消耗品費,資料印刷,95000,支出,コピーセンター,東京都,
2023/12/01,個人からの寄附,中村健一,200000,収入,,,経営者
2023/12/05,事務所費,事務所賃料,891010,支出,宇野卓哉,神奈川県横浜市,月額賃料
2023/12/10,組織活動費,忘年会費,320000,支出,レストランVWX,東京都,
2023/12/15,寄附・交付金,地域団体への寄附,500000,支出,地域振興会,神奈川県,
2023/12/20,その他の経費,年末事務費,150000,支出,,,雑費
2024/01/01,個人からの寄附,小林敦子,75000,収入,,,教員
2024/01/05,事務所費,事務所賃料,891010,支出,宇野卓哉,神奈川県横浜市,月額賃料
2024/01/10,人件費,スタッフ給与,1500000,支出,,,3名分
2024/01/15,備品・消耗品費,暖房器具,85000,支出,家電量販店YZ,東京都,
2024/02/01,法人その他の団体からの寄附,株式会社イノベーション,600000,収入,,,企業寄附
2024/02/05,事務所費,事務所賃料,891010,支出,宇野卓哉,神奈川県横浜市,月額賃料
2024/02/10,組織活動費,党員研修,420000,支出,研修施設,千葉県,
2024/02/20,調査研究費,アンケート調査,350000,支出,調査会社ABC,東京都,
2024/03/01,個人からの寄附,渡辺誠,110000,収入,,,公務員
2024/03/05,事務所費,事務所賃料,891010,支出,宇野卓哉,神奈川県横浜市,月額賃料
2024/03/10,人件費,スタッフ給与,1500000,支出,,,3名分
2024/03/15,機関紙誌の発行その他の事業費,ニュースレター制作,380000,支出,印刷会社DEF,東京都,
2024/03/25,備品・消耗品費,事務機器メンテナンス,125000,支出,メンテナンス会社,東京都,
